body              time                 x                 y                vx                vy
0                   0                   2                 0.5                   3                   1                   
1                   0                   3                  45                  -2                 1.5                   
0               0.001               2.003               0.501                   3             1.00008
1               0.001               2.998             45.0015                  -2              1.4999
0               0.002               2.006               0.502                   3             1.00015
1               0.002               2.996              45.003                  -2              1.4998
0               0.003               2.009               0.503             3.00001             1.00023
1               0.003               2.994             45.0045            -2.00001              1.4997
0               0.004               2.012            0.504001             3.00001              1.0003
1               0.004               2.992              45.006            -2.00001              1.4996
0               0.005               2.015            0.505001             3.00001             1.00038
1               0.005                2.99             45.0075            -2.00001              1.4995
0               0.006               2.018            0.506001             3.00001             1.00045
1               0.006               2.988              45.009            -2.00001             1.49939
0               0.007               2.021            0.507002             3.00001             1.00053
1               0.007               2.986             45.0105            -2.00002             1.49929
0               0.008               2.024            0.508002             3.00001             1.00061
1               0.008               2.984              45.012            -2.00002             1.49919
0               0.009               2.027            0.509003             3.00001             1.00068
1               0.009               2.982             45.0135            -2.00002             1.49909
0                0.01                2.03            0.510004             3.00002             1.00076
1                0.01                2.98              45.015            -2.00002             1.49899
0               0.011               2.033            0.511005             3.00002             1.00083
1               0.011               2.978             45.0165            -2.00002             1.49889
0               0.012               2.036            0.512005             3.00002             1.00091
1               0.012               2.976              45.018            -2.00003             1.49879
0               0.013               2.039            0.513006             3.00002             1.00098
1               0.013               2.974             45.0195            -2.00003             1.49869
0               0.014               2.042            0.514007             3.00002             1.00106
1               0.014               2.972              45.021            -2.00003             1.49859
0               0.015               2.045            0.515009             3.00002             1.00114
1               0.015                2.97             45.0225            -2.00003             1.49849
0               0.016               2.048             0.51601             3.00003             1.00121
1               0.016               2.968              45.024            -2.00003             1.49839
0               0.017               2.051            0.517011             3.00003             1.00129
1               0.017               2.966             45.0255            -2.00004             1.49828
0               0.018               2.054            0.518012             3.00003             1.00136
1               0.018               2.964              45.027            -2.00004             1.49818
0               0.019               2.057            0.519014             3.00003             1.00144
1               0.019               2.962             45.0285            -2.00004             1.49808
0                0.02                2.06            0.520015             3.00003             1.00151
1                0.02                2.96               45.03            -2.00004             1.49798
0               0.021               2.063            0.521017             3.00003             1.00159
1               0.021               2.958             45.0315            -2.00005             1.49788
0               0.022               2.066            0.522018             3.00004             1.00166
1               0.022               2.956              45.033            -2.00005             1.49778
0               0.023               2.069             0.52302             3.00004             1.00174
1               0.023               2.954             45.0345            -2.00005             1.49768
0               0.024               2.072            0.524022             3.00004             1.00182
1               0.024               2.952              45.036            -2.00005             1.49758
0               0.025               2.075            0.525024             3.00004             1.00189
1               0.025                2.95             45.0375            -2.00005             1.49748
0               0.026               2.078            0.526026             3.00004             1.00197
1               0.026               2.948              45.039            -2.00006             1.49738
0               0.027               2.081            0.527028             3.00004             1.00204
1               0.027               2.946             45.0405            -2.00006             1.49728
0               0.028               2.084             0.52803             3.00004             1.00212
1               0.028               2.944              45.042            -2.00006             1.49717
0               0.029               2.087            0.529032             3.00005             1.00219
1               0.029               2.942             45.0435            -2.00006             1.49707
0                0.03                2.09            0.530034             3.00005             1.00227
1                0.03                2.94              45.045            -2.00006             1.49697
0               0.031               2.093            0.531036             3.00005             1.00235
1               0.031               2.938             45.0465            -2.00006             1.49687
0               0.032               2.096            0.532039             3.00005             1.00242
1               0.032               2.936             45.0479            -2.00007             1.49677
0               0.033               2.099            0.533041             3.00005              1.0025
1               0.033               2.934             45.0494            -2.00007             1.49667
0               0.034               2.102            0.534044             3.00005             1.00257
1               0.034               2.932             45.0509            -2.00007             1.49657
0               0.035               2.105            0.535046             3.00005             1.00265
1               0.035                2.93             45.0524            -2.00007             1.49647
